type,coordinates long,coordinates lat,category,name,info,area_total_m2,perimeter_total_m,area_perimeter_ratio_total
Feature,13.51506736420933,52.401594982313384,Grünanlage,Verbindungsweg Süd zum Landschaftspark,,848.58,349.84,2.4257
Feature,13.437527291528113,52.44578459398931,Grünanlage,Gutshof Britz - Teil 1,,4651.02,1116.79,4.1646
Feature,13.428634170104774,52.44547983427918,Grünanlage,Kienpfuhl Britz,,4343.07,603.3,7.1989
Feature,13.437198472370786,52.44787863924685,Grünanlage,Kirchteich Britz-Grünanlage,,9184.87,1114.16,8.2438
Feature,13.434977371305468,52.447928786307074,Grünanlage,Schulvorplatz Britzer Damm,,4699.63,406.96,11.5482
Feature,13.440809310919565,52.446827354752806,Grünanlage,Gutspark Britz,,13908.24,644.93,21.5653
Feature,13.444510513795876,52.4484152242853,Grünanlage,Onkel-Bräsig-Strasse,vor der Fritz - Karsen - Schule,3710.7,270.8,13.7029
Feature,13.428782430516899,52.459880647795586,Grünanlage,Friedrichsbrunner Platz-Grünanlage,,3048.83,280.2,10.881
Feature,13.453008842997646,52.449009947568015,Grünanlage,Buschkrugallee,,2504.48,684.15,3.6607
Feature,13.440900458754257,52.45496055081386,Grünanlage,Buschrosenplatz,,3714.19,245.21,15.1468
Feature,13.449138826054291,52.447992059301065,Grünanlage,Hufeisenteich-Grünanlage,,8391.0,586.85,14.2984
Feature,13.433002377835013,52.45810619126199,Grünanlage,Treseburger Ufer,,17707.1,1611.17,10.9902
Feature,13.453980813342321,52.44888746858347,Grünanlage,Vor dem Sportplatz Buschkrugallee,,647.18,289.37,2.2365
Feature,13.450636445320399,52.448181209478214,Grünanlage,Krugpfuhl-Grünanlage,,5239.22,657.58,7.9674
Feature,13.447083232310714,52.45194371083332,Grünanlage,Akazienwäldchen-Grünanlage,,27732.45,1233.9,22.4754
Feature,13.443194915956381,52.44979363423137,Grünanlage,Fennpfuhl-Grünanlage,,59514.93,2723.06,21.8559
Feature,13.44527299288841,52.45864596229079,Grünanlage,Braunschweiger Ufer-Grünanlage,,38744.33,3387.42,11.4377
Feature,13.447946794616058,52.45392909746116,Grünanlage,Park am Buschkrug-Grünanlage,,46152.22,3335.95,13.8348
Feature,13.45883139917714,52.455228505200964,Grünanlage,Delfter Ufer-Grünanlage,,24732.58,3041.64,8.1313
Feature,13.507657144500133,52.40074534077174,Grünanlage,Südpark-Grünanlage,,89492.87,2035.88,43.9579
Feature,13.510423503340455,52.417529669704614,Grünanlage,Schirpitzer Weg-Grünanlage,,12253.38,815.66,15.0226
Feature,13.413033703407518,52.42932319014057,Grünanlage,Breitunger Weg,,14144.91,3843.97,3.6798
