type,coordinates long,coordinates lat,category,name,info,aktualisiert
Point,13.4464485,52.4416059,Sitzbank,Sitzbank,,2026-07-15
Point,13.446283,52.4419117,Sitzbank,Sitzbank,,2026-07-15
Point,13.424322,52.5442665,Sitzbank,Sitzbank,,2026-07-15
Point,13.424373,52.5442747,Sitzbank,Sitzbank,,2026-07-15
Point,13.4242227,52.5440617,Sitzbank,Sitzbank,,2026-07-15
Point,13.4244938,52.5442437,Sitzbank,Sitzbank,,2026-07-15
Point,13.4505364,52.4482527,Sitzbank,Sitzbank,,2026-07-15
Point,13.3708135,52.472777,Sitzbank,Sitzbank,,2026-07-15
Point,13.3720205,52.5485184,Sitzbank,Sitzbank,,2026-07-15
Point,13.5263227,52.4821004,Sitzbank,Sitzbank,,2026-07-15
Point,13.4407503,52.4551906,Sitzbank,Sitzbank,,2026-07-15
Point,13.4407924,52.4551951,Sitzbank,Sitzbank,,2026-07-15
Point,13.4408466,52.4552016,Sitzbank,Sitzbank,,2026-07-15
Point,13.4408863,52.4552052,Sitzbank,Sitzbank,,2026-07-15
Point,13.5162626,52.4407623,Sitzbank,Sitzbank,,2026-07-15
Point,13.5163478,52.4408075,Sitzbank,Sitzbank,,2026-07-15
Point,13.516567,52.4409304,Sitzbank,Sitzbank,,2026-07-15
Point,13.5166526,52.440979,Sitzbank,Sitzbank,,2026-07-15
Point,13.5168435,52.4410563,Sitzbank,Sitzbank,,2026-07-15
Point,13.5168692,52.4409753,Sitzbank,Sitzbank,,2026-07-15
Point,13.3909448,52.5015946,Sitzbank,Sitzbank,,2026-07-15
Point,13.3909382,52.5016374,Sitzbank,Sitzbank,,2026-07-15
Point,13.3909977,52.5012526,Sitzbank,Sitzbank,,2026-07-15
Point,13.3909712,52.5014236,Sitzbank,Sitzbank,,2026-07-15
Point,13.3909779,52.5013809,Sitzbank,Sitzbank,,2026-07-15
Point,13.3909845,52.5013381,Sitzbank,Sitzbank,,2026-07-15
Point,13.3909911,52.5012953,Sitzbank,Sitzbank,,2026-07-15
Point,13.3909514,52.5015519,Sitzbank,Sitzbank,,2026-07-15
Point,13.390958,52.5015091,Sitzbank,Sitzbank,,2026-07-15
Point,13.3909646,52.5014664,Sitzbank,Sitzbank,,2026-07-15
Point,13.4211,52.5533159,Sitzbank,Sitzbank,,2026-07-15
Point,13.4211645,52.5536411,Sitzbank,Sitzbank,,2026-07-15
Point,13.4211884,52.5536708,Sitzbank,Sitzbank,,2026-07-15
Point,13.4216233,52.5537608,Sitzbank,Sitzbank,,2026-07-15
Point,13.421923,52.5534397,Sitzbank,Sitzbank,,2026-07-15
Point,13.4219312,52.5536367,Sitzbank,Sitzbank,,2026-07-15
Point,13.4219297,52.5535961,Sitzbank,Sitzbank,,2026-07-15
Point,13.4078936,52.5198956,Sitzbank,Sitzbank,,2026-07-15
Point,13.398755,52.5203566,Sitzbank,Sitzbank,,2026-07-15
Point,13.3989497,52.5204479,Sitzbank,Sitzbank,,2026-07-15
Point,13.3989252,52.5203434,Sitzbank,Sitzbank,,2026-07-15
Point,13.5033207,52.4379472,Sitzbank,Sitzbank,,2026-07-15
Point,13.5030604,52.4382255,Sitzbank,Sitzbank,,2026-07-15
Point,13.5045211,52.4387092,Sitzbank,Sitzbank,,2026-07-15
Point,13.5045534,52.4386949,Sitzbank,Sitzbank,,2026-07-15
Point,13.3693203,52.5330966,Sitzbank,Sitzbank,,2026-07-15
Point,13.3693481,52.5330685,Sitzbank,Sitzbank,,2026-07-15
Point,13.3693927,52.5329047,Sitzbank,Sitzbank,,2026-07-15
Point,13.3693656,52.5329317,Sitzbank,Sitzbank,,2026-07-15
Point,13.3691336,52.5332806,Sitzbank,Sitzbank,,2026-07-15
Point,13.3691676,52.5332524,Sitzbank,Sitzbank,,2026-07-15
Point,13.340973,52.4829684,Sitzbank,Sitzbank,,2026-07-15
Point,13.2807896,52.605399,Sitzbank,Sitzbank,,2026-07-15
Point,13.2836661,52.6066124,Sitzbank,Sitzbank,,2026-07-15
Point,13.5143356,52.4340386,Sitzbank,Sitzbank,,2026-07-15
Point,13.5143376,52.4340219,Sitzbank,Sitzbank,,2026-07-15
Point,13.5143396,52.4340051,Sitzbank,Sitzbank,,2026-07-15
Point,13.514342,52.4339849,Sitzbank,Sitzbank,,2026-07-15
Point,13.5143453,52.433957,Sitzbank,Sitzbank,,2026-07-15
Point,13.514333,52.4340598,Sitzbank,Sitzbank,,2026-07-15
Point,13.5181282,52.4336214,Sitzbank,Sitzbank,,2026-07-15
Point,13.5181803,52.4336512,Sitzbank,Sitzbank,,2026-07-15
Point,13.5181981,52.4336615,Sitzbank,Sitzbank,,2026-07-15
Point,13.5182261,52.4336774,Sitzbank,Sitzbank,,2026-07-15
Point,13.5181513,52.4336347,Sitzbank,Sitzbank,,2026-07-15
Point,13.5182528,52.4336927,Sitzbank,Sitzbank,,2026-07-15
Point,13.5215594,52.4356067,Sitzbank,Sitzbank,,2026-07-15
Point,13.5216808,52.4356784,Sitzbank,Sitzbank,,2026-07-15
Point,13.5215874,52.4356232,Sitzbank,Sitzbank,,2026-07-15
Point,13.521655,52.4356631,Sitzbank,Sitzbank,,2026-07-15
Point,13.5216074,52.435635,Sitzbank,Sitzbank,,2026-07-15
Point,13.5216273,52.4356467,Sitzbank,Sitzbank,,2026-07-15
Point,13.5190844,52.4386147,Sitzbank,Sitzbank,,2026-07-15
Point,13.5191164,52.4385907,Sitzbank,Sitzbank,,2026-07-15
Point,13.5191493,52.4385649,Sitzbank,Sitzbank,,2026-07-15
Point,13.4264642,52.5651046,Sitzbank,Sitzbank,,2026-07-15
Point,13.4100376,52.5205569,Sitzbank,Sitzbank,,2026-07-15
Point,13.409994,52.5205922,Sitzbank,Sitzbank,,2026-07-15
Point,13.4100846,52.5206303,Sitzbank,Sitzbank,,2026-07-15
Point,13.4427303,52.4816462,Sitzbank,Sitzbank,,2026-07-15
Point,13.4427848,52.4816829,Sitzbank,Sitzbank,,2026-07-15
Point,13.4428027,52.4816412,Sitzbank,Sitzbank,,2026-07-15
Point,13.2403761,52.62193,Sitzbank,Sitzbank,,2026-07-15
Point,13.4985478,52.439048,Sitzbank,Sitzbank,,2026-07-15
Point,13.4985947,52.4390615,Sitzbank,Sitzbank,,2026-07-15
Point,13.4985426,52.4389702,Sitzbank,Sitzbank,,2026-07-15
Point,13.4985311,52.4390071,Sitzbank,Sitzbank,,2026-07-15
Point,13.5002932,52.4387473,Sitzbank,Sitzbank,,2026-07-15
Point,13.50038,52.4387696,Sitzbank,Sitzbank,,2026-07-15
Point,13.5003388,52.438744,Sitzbank,Sitzbank,,2026-07-15
Point,13.5095559,52.4408914,Sitzbank,Sitzbank,,2026-07-15
Point,13.5095131,52.4409014,Sitzbank,Sitzbank,,2026-07-15
Point,13.5098303,52.4409248,Sitzbank,Sitzbank,,2026-07-15
Point,13.5098721,52.4409156,Sitzbank,Sitzbank,,2026-07-15
Point,13.5097846,52.4409339,Sitzbank,Sitzbank,,2026-07-15
Point,13.5100418,52.4407881,Sitzbank,Sitzbank,,2026-07-15
Point,13.5099919,52.4408002,Sitzbank,Sitzbank,,2026-07-15
