type,coordinates long,coordinates lat,category,name,info
Point,13.298772,52.57415704,"Öffentlicher ""Kühler Raum""",Tek Dream Event - Flohr Saal,"Flohrstr. 19, 13507 Berlin | Mo - Fr: 12:00 - 17:00 Uhr; Sa, So: 12:00 - 16:30 Uhr | rollstuhlgerecht | Der Raum ist klimatisiert. Es erfolgt keine medizinische Betreuung."
Point,13.379365,52.57041804,"Öffentlicher ""Kühler Raum""",Begegnungszentrum der Träger gGmbH,"Provinzstraße 84, 13409 Berlin | Mo - So: 10:00 - 17:00 Uhr | eingeschränkt rollstuhlgerecht | Es ist kein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.336755,52.58236904,"Öffentlicher ""Kühler Raum""",Interkulturelles Zentrum BKK Linde,"Wilhelm-Gericke-Str. 42, 13437 Berlin | Mo, Mi, Do, Fr: 10:00 – 19:00 Uhr | eingeschränkt rollstuhlgerecht | Es ist kein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.293367,52.58927904,"Öffentlicher ""Kühler Raum""",Immanuel Stadtteilzentrum Borsigwalde,"Ziekowstraße 112/114, 13509 Berlin | Mo - Do: 09:00 - 17:00 Uhr; Fr: 09:00 - 12:00 Uhr | rollstuhlgerecht | Es gibt Trinkwasser, Sitzgelegenheiten, Toiletten, Unterhaltung/Spiele. Da die Öffnungszeiten variieren können bitten wir Sie, uns vorab kurz telefonisch zu kontaktieren. Es erfolgt keine medizinische Betreuung."
Point,13.344036,52.61387904,"Öffentlicher ""Kühler Raum""",Seniorenfreizeitstätte Lübars,"Am Vierrutenberg 2, 13469 Berlin | Mo - Fr: 08.00 - 16.00 Uhr | rollstuhlgerecht | Es gibt Sitzgelegeneheiten, Trinkwasser, Toiletten, Unterhaltung, Spiele und WLAN. Es erfolgt keine medizinische Betreuung."
Point,13.275687,52.59328704,"Öffentlicher ""Kühler Raum""","Seniorenfreizietstätte ""Adele""","Adelheidallee 5-7 13507 Berlin | Mo - Fr: 10:00 - 17:00 Uhr | rollstuhlgerecht | Es gibt Sitzgelegenheiten, Trinkwasser und Toiletten. Eine Liegemöglichkeit ist vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.213423,52.60843504,"Öffentlicher ""Kühler Raum""",Seniorenfreizeitstätte Heiligensee,"Alt-Heiligensee 39, 13503 Berlin | Mo - Di: 13:00 - 16:30 Uhr; Do - Fr: 12:30 - 16:30 Uhr | rollstuhlgerecht | Es gibt Toiletten, Sitzgelegenheiten, W-LAN und Spiele. Es erfolgt keine medizinische Betreuung."
Point,13.276705,52.58749904,"Öffentlicher ""Kühler Raum""",Seniorenfreizeitstätte - Freizeitclub Tegel,"Alt-Tegel 43, 13507 Berlin | Mo: 12:00 - 16:30 Uhr; Do: 11:00 - 16:30 Uhr; Fr: 11:00 - 16:30 Uhr | rollstuhlgerecht | Es gibt Sitzgelegenheit und Toiletten. Es erfolgt keine medizinische Betreuung."
Point,13.313062,52.62024204,"Öffentlicher ""Kühler Raum""",Hermsdorfer Seniorenfüchse,"Berliner Str. 105-107, 13467 Berlin | Mo – Fr: 10:00 – 16:30 Uhr; Do: 10:00 - 17:30 Uhr | rollstuhlgerecht | Es gibt Sitzgelegenheit und Toiletten. Es erfolgt keine medizinische Betreuung."
Point,13.363386,52.60306604,"Öffentlicher ""Kühler Raum""",Märkischer Seniorentreff,"Senftenberger Ring 34a, 13435 Berlin | Mo - Fr: 08:30 - 17:00 Uhr | rollstuhlgerecht | Es gibt Sitzgelegenheit und Toiletten. Es erfolgt keine medizinische Betreuung."
